epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5193,2.20155,3.50883,1.0668,0.65236,0.60755,0.59239,0.22609,1.57683,2.73925,0.76462,0.0684728,0.00165932,0.00165932
2,89.0812,2.1868,1.89994,1.04142,0.62343,0.57923,0.58273,0.22642,1.45376,1.95366,0.7377,0.0368032,0.00332304,0.00332304
3,127.842,2.20763,1.87218,1.04718,0.68745,0.54308,0.5989,0.23145,1.62179,3.39868,0.79157,0.00512178,0.00497494,0.00497494
4,166.726,2.24565,1.82862,1.07548,0.43085,0.46448,0.37439,0.13226,1.63636,2.55542,0.80732,0.00496015,0.00496015,0.00496015
5,204.845,2.27359,1.79184,1.07681,0.5548,0.55639,0.50259,0.18433,1.55382,1.49318,0.77805,0.00492931,0.00492931,0.00492931
6,243.037,2.23427,1.69688,1.07139,0.68593,0.56136,0.62633,0.23182,1.51385,1.34711,0.78588,0.00488988,0.00488988,0.00488988
7,282.859,2.14772,1.63934,1.06059,0.66633,0.60483,0.59342,0.2087,1.59215,2.72682,0.78672,0.004842,0.004842,0.004842
8,321.709,2.18515,1.65291,1.07344,0.66293,0.62647,0.64873,0.25381,1.4115,3.23831,0.76478,0.00478586,0.00478586,0.00478586
9,361.563,2.16032,1.57052,1.05678,0.70511,0.60574,0.63187,0.21731,1.50515,1.96896,0.78124,0.00472169,0.00472169,0.00472169
10,401.768,2.19773,1.65306,1.05557,0.69985,0.56619,0.6241,0.24133,1.5985,1.51552,0.80577,0.00464974,0.00464974,0.00464974
11,441.609,2.12537,1.56788,1.0404,0.84428,0.61358,0.71708,0.28782,1.43199,1.58806,0.75628,0.00457029,0.00457029,0.00457029
12,481.576,2.0627,1.4572,1.04034,0.71896,0.63454,0.68572,0.27347,1.44452,2.07005,0.75765,0.00448365,0.00448365,0.00448365
13,520.886,2.04271,1.4552,1.03719,0.78059,0.6423,0.71176,0.28296,1.45137,1.31797,0.7601,0.00439018,0.00439018,0.00439018
14,559.419,2.07292,1.48292,1.02784,0.72816,0.62945,0.69294,0.27324,1.45638,1.83249,0.77568,0.00429023,0.00429023,0.00429023
15,597.475,2.09147,1.48325,1.02708,0.73828,0.6113,0.66075,0.23354,1.54002,3.05903,0.77434,0.0041842,0.0041842,0.0041842
16,635.563,2.01212,1.42757,1.03488,0.81628,0.67283,0.74874,0.31443,1.42566,1.55776,0.75149,0.00407252,0.00407252,0.00407252
17,673.768,2.06208,1.42296,1.02534,0.78883,0.66323,0.71753,0.28457,1.42729,4.34955,0.74595,0.00395561,0.00395561,0.00395561
18,711.859,2.01329,1.38531,1.00815,0.76203,0.65796,0.73409,0.31654,1.43291,1.33799,0.75482,0.00383395,0.00383395,0.00383395
19,750.334,2.03018,1.41081,1.01458,0.7603,0.67102,0.74669,0.30721,1.40047,1.76455,0.73778,0.003708,0.003708,0.003708
20,790.192,1.97516,1.35796,0.99143,0.86688,0.66313,0.78521,0.33187,1.37573,2.00578,0.73104,0.00357828,0.00357828,0.00357828
21,829.207,2.02097,1.37503,0.99333,0.80256,0.67363,0.7692,0.31307,1.44513,1.0778,0.73825,0.00344529,0.00344529,0.00344529
22,868.705,1.96976,1.33915,1.00422,0.83891,0.6423,0.75927,0.31586,1.39841,1.52808,0.73747,0.00330955,0.00330955,0.00330955
23,908.209,1.93326,1.31157,1.00211,0.77299,0.69347,0.75091,0.31657,1.41661,1.49413,0.73247,0.00317161,0.00317161,0.00317161
24,947.345,1.94036,1.33784,1.00718,0.85074,0.7143,0.7975,0.33503,1.41066,1.55433,0.73318,0.003032,0.003032,0.003032
25,985.477,1.93095,1.30113,0.98953,0.78661,0.71279,0.79144,0.32557,1.41724,1.9448,0.74371,0.00289128,0.00289128,0.00289128
26,1015.96,1.95461,1.28349,0.99578,0.7981,0.73368,0.80934,0.34369,1.35035,1.50541,0.72459,0.00275,0.00275,0.00275
27,1044.64,1.94471,1.28909,0.98618,0.77935,0.69713,0.79117,0.33233,1.3579,1.16504,0.72557,0.00260872,0.00260872,0.00260872
28,1068.56,1.91175,1.233,0.98068,0.84191,0.70913,0.79623,0.31649,1.35564,1.71988,0.72413,0.002468,0.002468,0.002468
29,1092.69,1.91027,1.26816,0.97562,0.86489,0.69974,0.80572,0.36144,1.36983,1.10926,0.72636,0.00232839,0.00232839,0.00232839
30,1116.75,1.93265,1.2527,0.98277,0.83153,0.71802,0.80319,0.33583,1.36084,1.56793,0.71715,0.00219045,0.00219045,0.00219045
31,1141.54,1.88107,1.22132,0.96972,0.83041,0.6904,0.76554,0.31061,1.34957,2.16682,0.72317,0.00205471,0.00205471,0.00205471
32,1166.87,1.86836,1.21401,0.97223,0.86979,0.75196,0.82419,0.35657,1.3458,1.65514,0.72859,0.00192172,0.00192172,0.00192172
33,1191.42,1.88637,1.19496,0.9672,0.83323,0.69191,0.77754,0.32096,1.34488,1.87005,0.71918,0.001792,0.001792,0.001792
34,1215.57,1.85022,1.19011,0.95818,0.82375,0.72063,0.79562,0.34629,1.32548,1.89072,0.72308,0.00166605,0.00166605,0.00166605
35,1239.38,1.86808,1.24838,0.97314,0.79034,0.73819,0.79243,0.33527,1.32317,1.58022,0.71311,0.00154439,0.00154439,0.00154439
36,1263.13,1.84315,1.19231,0.96922,0.83519,0.73368,0.81151,0.34707,1.32588,1.44485,0.71344,0.00142748,0.00142748,0.00142748
37,1287.59,1.83689,1.18402,0.96144,0.79881,0.75718,0.82535,0.34951,1.3295,1.24692,0.71801,0.0013158,0.0013158,0.0013158
38,1311.66,1.85174,1.168,0.96143,0.87128,0.72461,0.83579,0.35519,1.3024,1.21621,0.71931,0.00120977,0.00120977,0.00120977
39,1335.36,1.83223,1.1442,0.95835,0.80859,0.78312,0.82013,0.36034,1.30015,1.14918,0.70609,0.00110982,0.00110982,0.00110982
40,1359.71,1.82644,1.1283,0.95404,0.84201,0.76762,0.8315,0.35883,1.2848,1.09698,0.72133,0.00101635,0.00101635,0.00101635
41,1404.98,1.73532,0.98349,0.96427,0.81869,0.70496,0.78962,0.33769,1.3664,1.04361,0.73161,0.000929712,0.000929712,0.000929712
42,1428.38,1.75159,0.98595,0.95536,0.80467,0.74215,0.81495,0.35466,1.32779,0.87329,0.71927,0.000850262,0.000850262,0.000850262
43,1451.58,1.71922,0.93995,0.95201,0.85642,0.75457,0.84308,0.37592,1.31523,0.93359,0.71963,0.00077831,0.00077831,0.00077831
44,1475.3,1.74585,0.95856,0.95091,0.88193,0.73629,0.84862,0.37417,1.29519,1.11852,0.72016,0.000714139,0.000714139,0.000714139
45,1500.19,1.73171,0.93703,0.97964,0.88435,0.71018,0.82636,0.35158,1.2834,0.91281,0.71628,0.000658003,0.000658003,0.000658003
46,1524.69,1.72143,0.93003,0.96093,0.85763,0.7707,0.8454,0.38114,1.26469,1.27711,0.71924,0.000610123,0.000610123,0.000610123
47,1548.15,1.7022,0.93139,0.96281,0.8732,0.78068,0.85946,0.38344,1.28263,1.26879,0.72187,0.000570688,0.000570688,0.000570688
48,1572.42,1.68551,0.90376,0.95138,0.86934,0.76501,0.84016,0.36884,1.29057,1.14587,0.72474,0.000539854,0.000539854,0.000539854
49,1597.87,1.70764,0.94522,0.95274,0.88067,0.75718,0.83588,0.36626,1.29586,1.28304,0.72315,0.000517742,0.000517742,0.000517742
50,1621.68,1.67199,0.89934,0.95689,0.89898,0.76501,0.85583,0.37625,1.2684,1.15689,0.71788,0.00050444,0.00050444,0.00050444
