epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7339,2.17678,5.14999,1.0525,0.68458,0.51436,0.53869,0.18526,1.64887,8.53431,0.8197,0.00066373,0.00066373,0.00066373
2,79.8536,2.20242,2.57102,1.09538,0.66072,0.53786,0.5769,0.22366,1.62659,3.08473,0.81313,0.00130405,0.00130405,0.00130405
3,115.494,2.218,1.79578,1.1076,0.66443,0.57901,0.58397,0.21529,1.52291,3.74965,0.80392,0.00191798,0.00191798,0.00191798
4,150.698,2.1571,1.59623,1.09015,0.7336,0.63272,0.67717,0.24546,1.53354,6.86392,0.79775,0.0018812,0.0018812,0.0018812
5,186.182,2.1207,1.48908,1.07252,0.72981,0.63446,0.67321,0.24011,1.47707,5.39847,0.78864,0.0018416,0.0018416,0.0018416
6,221.382,2.09096,1.41931,1.08226,0.60421,0.5718,0.56071,0.20262,1.55679,2.96526,0.80187,0.001802,0.001802,0.001802
7,256.77,2.08616,1.45615,1.07581,0.65107,0.5953,0.62458,0.22616,1.57597,1.65901,0.79429,0.0017624,0.0017624,0.0017624
8,292.31,2.05299,1.41887,1.06751,0.75805,0.59715,0.6606,0.28359,1.46881,3.32956,0.77934,0.0017228,0.0017228,0.0017228
9,327.679,2.00981,1.34683,1.05052,0.71985,0.58747,0.65173,0.25708,1.43928,2.78296,0.7734,0.0016832,0.0016832,0.0016832
10,362.621,2.03216,1.35702,1.06001,0.67812,0.53264,0.59015,0.23407,1.54912,1.33186,0.78792,0.0016436,0.0016436,0.0016436
11,398.017,1.98048,1.27494,1.04666,0.78972,0.58486,0.68847,0.26904,1.44021,3.1822,0.77004,0.001604,0.001604,0.001604
12,433.604,2.01343,1.27344,1.05252,0.77941,0.66319,0.71737,0.28019,1.49496,5.43276,0.78364,0.0015644,0.0015644,0.0015644
13,467.119,1.95499,1.2221,1.01826,0.71891,0.65796,0.69531,0.27368,1.38515,1.44364,0.7539,0.0015248,0.0015248,0.0015248
14,499.868,1.94837,1.22363,1.04676,0.81529,0.60836,0.70231,0.28824,1.39869,1.55316,0.75643,0.0014852,0.0014852,0.0014852
15,532.139,1.92065,1.19571,1.01787,0.77721,0.67885,0.74943,0.30104,1.42852,1.77516,0.76648,0.0014456,0.0014456,0.0014456
