epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7324,2.18991,5.56262,1.05666,0.50128,0.46475,0.40174,0.12699,1.69968,9.50665,0.83512,0.00066373,0.00066373,0.00066373
2,53.6829,2.22205,2.82995,1.10626,0.64861,0.55614,0.56712,0.19826,1.56557,3.26136,0.81328,0.00130844,0.00130844,0.00130844
3,77.741,2.22409,1.86559,1.10615,0.57771,0.56397,0.55749,0.18573,1.67141,4.11929,0.83442,0.00193116,0.00193116,0.00193116
4,101.307,2.19005,1.61268,1.08869,0.67874,0.51958,0.55223,0.22075,1.5793,5.21004,0.80629,0.001901,0.001901,0.001901
5,125.016,2.15293,1.52336,1.07006,0.76506,0.5718,0.65202,0.25583,1.45786,4.22302,0.78462,0.001868,0.001868,0.001868
6,148.719,2.1195,1.46472,1.08816,0.59694,0.5483,0.51374,0.19536,1.53238,2.20702,0.78926,0.001835,0.001835,0.001835
7,172.414,2.09143,1.45839,1.07924,0.68321,0.53003,0.57896,0.19862,1.5912,2.11881,0.79106,0.001802,0.001802,0.001802
8,196.403,2.07814,1.45895,1.07293,0.64446,0.61051,0.63772,0.25712,1.524,2.47437,0.79019,0.001769,0.001769,0.001769
9,220.263,2.04854,1.38523,1.05588,0.74447,0.53786,0.62485,0.24055,1.46628,3.0236,0.7693,0.001736,0.001736,0.001736
10,244.476,2.04948,1.36446,1.05481,0.70424,0.61097,0.68476,0.27915,1.48057,1.92371,0.7733,0.001703,0.001703,0.001703
11,268.278,1.99161,1.2885,1.04671,0.752,0.60574,0.66257,0.24063,1.54063,1.88275,0.78798,0.00167,0.00167,0.00167
12,291.989,2.02324,1.34036,1.0504,0.79654,0.62402,0.68914,0.2762,1.49158,6.05974,0.78801,0.001637,0.001637,0.001637
13,315.738,1.96075,1.26678,1.01961,0.66684,0.5953,0.60257,0.23051,1.51265,2.92189,0.7749,0.001604,0.001604,0.001604
14,339.468,1.9667,1.26176,1.04812,0.78688,0.62661,0.7009,0.26415,1.50289,1.8456,0.76674,0.001571,0.001571,0.001571
15,363.542,1.96604,1.26803,1.03023,0.71098,0.60052,0.66063,0.25461,1.50775,2.87074,0.78526,0.001538,0.001538,0.001538
16,387.458,1.95628,1.23571,1.02112,0.79358,0.65535,0.73503,0.30415,1.41513,3.01254,0.75267,0.001505,0.001505,0.001505
17,411.298,1.95187,1.23236,1.01629,0.80747,0.63708,0.71775,0.29661,1.42992,4.67497,0.76777,0.001472,0.001472,0.001472
18,435.283,1.93698,1.18821,1.02753,0.77641,0.60574,0.69185,0.25776,1.44753,1.6433,0.754,0.001439,0.001439,0.001439
19,459.165,1.95619,1.23638,1.03305,0.7466,0.57441,0.64897,0.25323,1.44235,1.48065,0.76248,0.001406,0.001406,0.001406
20,482.97,1.93822,1.15541,1.0301,0.80756,0.64647,0.72815,0.30339,1.41343,1.3072,0.75387,0.001373,0.001373,0.001373
21,506.587,1.88725,1.17377,1.00809,0.77145,0.64337,0.71826,0.29557,1.40525,1.18813,0.75417,0.00134,0.00134,0.00134
22,530.16,1.87524,1.16194,0.98963,0.74247,0.66841,0.72509,0.29377,1.43273,2.07852,0.75521,0.001307,0.001307,0.001307
23,553.908,1.88254,1.1293,1.00946,0.79564,0.63446,0.72243,0.28332,1.44592,1.68112,0.75608,0.001274,0.001274,0.001274
24,578.913,1.9144,1.13891,1.00459,0.81797,0.68051,0.75754,0.31297,1.45084,1.92584,0.7526,0.001241,0.001241,0.001241
25,604.727,1.84282,1.08251,1.00055,0.78628,0.68668,0.70998,0.28768,1.40264,3.25152,0.74943,0.001208,0.001208,0.001208
26,630.391,1.84659,1.08254,1.00273,0.80842,0.72063,0.77383,0.32621,1.40491,2.66809,0.75438,0.001175,0.001175,0.001175
27,655.657,1.84581,1.10464,0.99888,0.80506,0.69191,0.77055,0.31993,1.35671,1.48162,0.74228,0.001142,0.001142,0.001142
28,680.338,1.85273,1.07479,1.00351,0.76905,0.73901,0.7751,0.33513,1.36147,2.7323,0.74347,0.001109,0.001109,0.001109
29,704.079,1.8043,1.07804,0.99352,0.79017,0.68828,0.75468,0.32238,1.42888,1.74687,0.75651,0.001076,0.001076,0.001076
30,727.712,1.88111,1.06578,1.00789,0.80264,0.66897,0.75477,0.31563,1.38724,2.88071,0.75122,0.001043,0.001043,0.001043
31,751.262,1.81594,1.06432,0.99486,0.83636,0.7154,0.78159,0.33311,1.4006,1.71032,0.75419,0.00101,0.00101,0.00101
32,774.73,1.85217,1.06301,0.99311,0.81194,0.65796,0.76141,0.3025,1.40995,1.56237,0.74921,0.000977,0.000977,0.000977
33,798.685,1.8537,1.08518,0.99868,0.82036,0.69452,0.7717,0.31277,1.38511,1.79904,0.74515,0.000944,0.000944,0.000944
34,822.215,1.80853,1.03494,0.99258,0.8389,0.6934,0.79273,0.3512,1.33935,1.69134,0.73034,0.000911,0.000911,0.000911
35,845.911,1.82576,1.0152,0.98711,0.83644,0.6893,0.78738,0.34326,1.38767,1.27555,0.7435,0.000878,0.000878,0.000878
36,869.61,1.79153,1.02163,0.9861,0.86793,0.72065,0.80752,0.34872,1.4047,1.81247,0.74506,0.000845,0.000845,0.000845
37,893.269,1.79049,0.99137,0.9793,0.81712,0.71279,0.78586,0.34966,1.33965,1.34885,0.73231,0.000812,0.000812,0.000812
38,917.202,1.80545,1.02423,0.98267,0.82106,0.7389,0.81725,0.36312,1.34218,1.46513,0.73356,0.000779,0.000779,0.000779
39,940.842,1.79082,0.98496,0.9759,0.86545,0.69974,0.81616,0.34891,1.38405,1.6579,0.73826,0.000746,0.000746,0.000746
40,964.454,1.81198,1.01087,0.97982,0.83589,0.69713,0.77044,0.33837,1.35391,1.37848,0.73826,0.000713,0.000713,0.000713
41,988.117,1.77898,1.00557,0.97947,0.8496,0.68146,0.79027,0.33136,1.35689,1.52077,0.7344,0.00068,0.00068,0.00068
42,1011.76,1.77045,0.98355,0.97155,0.84728,0.69191,0.79083,0.33893,1.37113,1.42913,0.74037,0.000647,0.000647,0.000647
43,1035.53,1.81001,0.98191,0.97546,0.84141,0.72063,0.79186,0.34786,1.3618,1.34768,0.73514,0.000614,0.000614,0.000614
44,1062.36,1.76329,0.98726,0.96803,0.83284,0.72324,0.80435,0.35191,1.30451,2.0656,0.7332,0.000581,0.000581,0.000581
45,1095.67,1.72421,0.94055,0.97985,0.81399,0.74674,0.80277,0.35794,1.29238,1.31907,0.73161,0.000548,0.000548,0.000548
46,1125.02,1.75591,0.94735,0.97497,0.79555,0.74413,0.79084,0.33882,1.32992,1.28403,0.73099,0.000515,0.000515,0.000515
47,1158.82,1.77326,0.9322,0.96023,0.86527,0.69713,0.80208,0.35204,1.32715,1.21899,0.73119,0.000482,0.000482,0.000482
48,1192.04,1.76368,0.95912,0.97479,0.84429,0.67952,0.78331,0.33618,1.35202,1.2163,0.73302,0.000449,0.000449,0.000449
49,1224.74,1.71594,0.96827,0.95561,0.84011,0.71339,0.78851,0.35868,1.33731,1.32807,0.737,0.000416,0.000416,0.000416
50,1259.11,1.72961,0.93422,0.94712,0.84983,0.7388,0.7957,0.34402,1.35927,1.07956,0.73976,0.000383,0.000383,0.000383
51,1310.5,1.68441,0.914,0.97961,0.83516,0.75979,0.81608,0.35656,1.30101,2.11616,0.72911,0.00035,0.00035,0.00035
52,1333.65,1.70038,0.92373,0.97846,0.86687,0.72846,0.82488,0.36518,1.30039,0.9768,0.72624,0.000317,0.000317,0.000317
53,1357.95,1.68109,0.8873,0.98787,0.79922,0.75979,0.81611,0.35796,1.29354,1.43943,0.72394,0.000284,0.000284,0.000284
54,1381.38,1.67514,0.89839,0.97309,0.82827,0.74297,0.80382,0.34672,1.32991,1.26587,0.73507,0.000251,0.000251,0.000251
55,1404.71,1.64873,0.86912,0.97959,0.8384,0.75196,0.81003,0.35128,1.32287,1.168,0.7301,0.000218,0.000218,0.000218
56,1427.94,1.68319,0.86163,0.98257,0.84027,0.75546,0.82879,0.35783,1.32968,1.23651,0.73513,0.000185,0.000185,0.000185
57,1451.39,1.66685,0.86863,0.97614,0.83454,0.77696,0.82861,0.36532,1.31943,1.17914,0.73438,0.000152,0.000152,0.000152
58,1484.5,1.63922,0.85362,0.96605,0.84892,0.77807,0.82515,0.36185,1.30721,1.11018,0.72858,0.000119,0.000119,0.000119
59,1517.64,1.66407,0.87947,0.97141,0.84195,0.765,0.82352,0.35094,1.31497,1.13276,0.7315,8.6e-05,8.6e-05,8.6e-05
60,1540.69,1.6498,0.84708,0.98264,0.83687,0.74935,0.81513,0.35946,1.30438,1.12025,0.72796,5.3e-05,5.3e-05,5.3e-05
